0	0 0 0 1 0 0
0.02	0 0 0 1 0.02 0
0.04	0 0 0 1 0.04 0
0.06	0 0 0 0.999999 0.06 0
0.08	0 0 0 0.999995 0.0799998 0
0.1	0 0 0 0.999984 0.0999993 0
0.12	0 0 0 0.99996 0.119998 0
0.14	0 0 0 0.999916 0.139994 0
0.16	0 0 0 0.999844 0.159987 0
0.18	0 0 0 0.999734 0.179975 0
0.2	0 0 0 0.999574 0.199955 0
0.22	0 0 0 0.999352 0.219923 0
0.24	0 0 0 0.999054 0.239876 0
0.26	0 0 0 0.998665 0.25981 0
0.28	0 0 0 0.998169 0.279717 0
0.3	0 0 0 0.99755 0.299593 0
0.32	0 0 0 0.996789 0.319429 0
0.34	0 0 0 0.99587 0.339217 0
0.36	0 0 0 0.994772 0.358948 0
0.38	0 0 0 0.993477 0.378612 0
0.4	0 0 0 0.991966 0.398198 0
0.42	0 0 0 0.990219 0.417694 0
0.44	0 0 0 0.988216 0.437087 0
0.46	0 0 0 0.985937 0.456364 0
0.48	0 0 0 0.983364 0.475511 0
0.5	0 0 0 0.980477 0.494513 0
0.52	0 0 0 0.977258 0.513353 0
0.54	0 0 0 0.973688 0.532018 0
0.56	0 0 0 0.96975 0.550488 0
0.58	0 0 0 0.965428 0.568749 0
0.6	0 0 0 0.960705 0.586782 0
0.62	0 0 0 0.955567 0.604571 0
0.64	0 0 0 0.95 0.622098 0
0.66	0 0 0 0.943991 0.639345 0
0.68	0 0 0 0.937528 0.656294 0
0.7	0 0 0 0.930602 0.67293 0
0.72	0 0 0 0.923202 0.689234 0
0.74	0 0 0 0.91532 0.705191 0
0.76	0 0 0 0.906952 0.720783 0
0.78	0 0 0 0.898091 0.735996 0
0.8	0 0 0 0.888733 0.750814 0
0.82	0 0 0 0.878877 0.765224 0
0.84	0 0 0 0.868521 0.779212 0
0.86	0 0 0 0.857667 0.792766 0
0.88	0 0 0 0.846316 0.805874 0
0.9	0 0 0 0.834472 0.818526 0
0.92	0 0 0 0.822139 0.830714 0
0.94	0 0 0 0.809324 0.842427 0
