0	0 0 0 1 0 0
0.02	0 0 0 1 0.02 0
0.04	0 0 0 0.999999 0.04 0
0.06	0 0 0 0.999995 0.0599998 0
0.08	0 0 0 0.999984 0.0799993 0
0.1	0 0 0 0.99996 0.0999977 0
0.12	0 0 0 0.999917 0.119994 0
0.14	0 0 0 0.999845 0.139987 0
0.16	0 0 0 0.999735 0.159975 0
0.18	0 0 0 0.999576 0.179955 0
0.2	0 0 0 0.999356 0.199924 0
0.22	0 0 0 0.99906 0.219877 0
0.24	0 0 0 0.998675 0.239811 0
0.26	0 0 0 0.998184 0.25972 0
0.28	0 0 0 0.997572 0.279597 0
0.3	0 0 0 0.996821 0.299435 0
0.32	0 0 0 0.995914 0.319227 0
0.34	0 0 0 0.994832 0.338962 0
0.36	0 0 0 0.993557 0.358631 0
0.38	0 0 0 0.99207 0.378224 0
0.4	0 0 0 0.990353 0.397729 0
0.42	0 0 0 0.988386 0.417134 0
0.44	0 0 0 0.98615 0.436426 0
0.46	0 0 0 0.983628 0.455591 0
0.48	0 0 0 0.980801 0.474614 0
0.5	0 0 0 0.977651 0.493481 0
0.52	0 0 0 0.974162 0.512177 0
0.54	0 0 0 0.970316 0.530686 0
0.56	0 0 0 0.966099 0.548991 0
0.58	0 0 0 0.961495 0.567077 0
0.6	0 0 0 0.95649 0.584926 0
0.62	0 0 0 0.951072 0.602522 0
0.64	0 0 0 0.945228 0.619849 0
0.66	0 0 0 0.938949 0.63689 0
0.68	0 0 0 0.932224 0.653629 0
0.7	0 0 0 0.925045 0.67005 0
0.72	0 0 0 0.917406 0.686137 0
0.74	0 0 0 0.9093 0.701875 0
0.76	0 0 0 0.900724 0.71725 0
0.78	0 0 0 0.891673 0.732247 0
0.8	0 0 0 0.882147 0.746855 0
0.82	0 0 0 0.872146 0.761059 0
0.84	0 0 0 0.861669 0.774849 0
0.86	0 0 0 0.850721 0.788214 0
0.88	0 0 0 0.839303 0.801145 0
0.9	0 0 0 0.827422 0.813633 0
0.92	0 0 0 0.815083 0.825672 0
0.94	0 0 0 0.802294 0.837254 0
